Community,2020 Data
Allendale/Irvington/S. Hilton,22.5
Baltimore City,21.4
Beechfield/Ten Hills/West Hills,17.5
Belair-Edison,15.6
Brooklyn/Curtis Bay/Hawkins Point,11.7
Canton,21.7
Cedonia/Frankford,21.4
Cherry Hill,3.9
Chinquapin Park/Belvedere,25.5
Claremont/Armistead,14.1
Clifton-Berea,28.8
Cross-Country/Cheswolde,10.7
Dickeyville/Franklintown,5.4
Dorchester/Ashburton,25.3
Downtown/Seton Hill,18.6
Edmondson Village,23
Fells Point,9.8
Forest Park/Walbrook,31.3
Glen-Fallstaff,19.1
Greater Charles Village/Barclay,27.3
Greater Govans,30
Greater Mondawmin,31.5
Greater Roland Park/Poplar Hill,24.4
Greater Rosemont,19.2
Greenmount East,29.2
Hamilton,24
Harbor East/Little Italy,20.9
Harford/Echodale,21.9
Highlandtown,14.1
Howard Park/West Arlington,24.9
Inner Harbor/Federal Hill,13
Lauraville,30.8
Loch Raven,25.4
Madison/East End,25.9
Medfield/Hampden/Woodberry/Remington,19.7
Midtown,14.1
Midway/Coldstream,34.2
Morrell Park/Violetville,23.4
Mount Washington/Coldspring,25.9
North Baltimore/Guilford/Homeland,25.9
Northwood,27.2
Oldtown/Middle East,22.4
Orangeville/East Highlandtown,14.3
Patterson Park North & East,19.1
Penn North/Reservoir Hill,27.1
Pimlico/Arlington/Hilltop,20.2
Poppleton/The Terraces/Hollins Market,28.1
Sandtown-Winchester/Harlem Park,22.9
South Baltimore,15.5
Southeastern,20.1
Southern Park Heights,23.7
Southwest Baltimore,33
The Waverlies,26
Upton/Druid Heights,16.2
Washington Village/Pigtown,34.1
Westport/Mount Winans/Lakeland,14.8
